geometry,condition,sample_size,repeat,fine_clusters,effective_clusters
refolded,2.x.x.x,100,19,95,89.80715218366267
refolded,2.x.x.x,200,0,173,148.23520068811655
refolded,2.x.x.x,200,1,174,154.33123337564308
refolded,2.x.x.x,200,2,173,148.74801231725812
refolded,2.x.x.x,200,3,172,148.93746938596325
refolded,2.x.x.x,200,4,172,146.7448831038715
refolded,2.x.x.x,200,5,171,141.50357775403313
refolded,2.x.x.x,200,6,178,161.30649166679143
refolded,2.x.x.x,200,7,175,154.47285869661482
refolded,2.x.x.x,200,8,173,153.47122037810936
refolded,2.x.x.x,200,9,173,146.98785752293625
refolded,2.x.x.x,200,10,171,143.5400467474962
refolded,2.x.x.x,200,11,175,155.6610450995843
refolded,2.x.x.x,200,12,171,147.16988970356851
refolded,2.x.x.x,200,13,170,140.76509663933388
refolded,2.x.x.x,200,14,169,139.55545618384633
refolded,2.x.x.x,200,15,175,155.82426824666467
refolded,2.x.x.x,200,16,173,145.70499697991949
refolded,2.x.x.x,200,17,171,144.24098835103274
refolded,2.x.x.x,200,18,174,150.89854942484308
refolded,2.x.x.x,200,19,175,158.68277148802986
refolded,2.x.x.x,222,0,190,159.1555247230083
refolded,2.x.x.x,222,1,190,159.15552472300845
refolded,2.x.x.x,222,2,190,159.1555247230083
refolded,2.x.x.x,222,3,190,159.1555247230083
refolded,2.x.x.x,222,4,190,159.1555247230083
refolded,2.x.x.x,222,5,190,159.15552472300845
refolded,2.x.x.x,222,6,190,159.1555247230083
refolded,2.x.x.x,222,7,190,159.1555247230083
refolded,2.x.x.x,222,8,190,159.1555247230083
refolded,2.x.x.x,222,9,190,159.1555247230083
refolded,2.x.x.x,222,10,190,159.1555247230083
refolded,2.x.x.x,222,11,190,159.1555247230083
refolded,2.x.x.x,222,12,190,159.1555247230083
refolded,2.x.x.x,222,13,190,159.1555247230083
refolded,2.x.x.x,222,14,190,159.1555247230083
refolded,2.x.x.x,222,15,190,159.1555247230083
refolded,2.x.x.x,222,16,190,159.1555247230083
refolded,2.x.x.x,222,17,190,159.1555247230083
refolded,2.x.x.x,222,18,190,159.1555247230083
refolded,2.x.x.x,222,19,190,159.1555247230083
refolded,3.x.x.x,25,0,25,24.999999999999986
refolded,3.x.x.x,25,1,25,24.999999999999986
refolded,3.x.x.x,25,2,25,24.999999999999986
refolded,3.x.x.x,25,3,25,24.999999999999986
refolded,3.x.x.x,25,4,25,24.999999999999986
refolded,3.x.x.x,25,5,25,24.999999999999986
refolded,3.x.x.x,25,6,25,24.999999999999986
refolded,3.x.x.x,25,7,25,24.999999999999986
refolded,3.x.x.x,25,8,25,24.999999999999986
refolded,3.x.x.x,25,9,25,24.999999999999986
refolded,3.x.x.x,25,10,25,24.999999999999986
refolded,3.x.x.x,25,11,25,24.999999999999986
