eval_set,n_pairs,metric,n_targets,mean_effective_pairs,mean_prediction,oracle_best,confidence_top
eval-val,350,rmsd,23,349.69565217391306,5.645190600858459,5.225302153128852,5.651049266939062
eval-val,350,tm_score,23,349.69565217391306,0.718680175954201,0.7296963301201814,0.7190461007673196
eval-val,360,gdt_ts,23,359.69565217391306,0.46205548745054814,0.48550372739373526,0.4620534830509534
eval-val,360,lddt,23,359.69565217391306,0.6073676724759075,0.6120133565255022,0.6092088678784479
eval-val,360,rmsd,23,359.69565217391306,5.469120051718878,5.0676800611552695,5.444299262328271
eval-val,360,tm_score,23,359.69565217391306,0.7329149252571385,0.7472757764122306,0.7375914411520582
eval-val,365,gdt_ts,1,362,0.07065217391304347,0.07427536231884058,0.07427536231884058
eval-val,365,lddt,1,362,0.41671377153568884,0.4215132099580131,0.41867377227183933
eval-val,365,rmsd,1,362,7.405455026973386,7.28234353565449,7.376939517973477
eval-val,365,tm_score,1,362,0.40750041983684976,0.41859337941839914,0.40426760924850197
eval-val,370,gdt_ts,22,369.8181818181818,0.4642124356679783,0.48324690109826707,0.46873875709136265
eval-val,370,lddt,22,369.8181818181818,0.6101241327078595,0.6147705463040276,0.611285284584536
eval-val,370,rmsd,22,369.8181818181818,5.601607241010674,5.003316890500686,5.3752369923537024
eval-val,370,tm_score,22,369.8181818181818,0.7375949546451899,0.747797947761775,0.7383749704740658
eval-val,372,gdt_ts,1,372,0.6151761517615176,0.7296747967479674,0.5724932249322493
eval-val,372,lddt,1,372,0.6922919009902547,0.699664540384933,0.6884331322410904
eval-val,372,rmsd,1,372,4.192315546105682,2.9980713470502582,4.91956449862879
eval-val,372,tm_score,1,372,0.8616785639668262,0.8705165292072963,0.8587583566970873
eval-val,373,gdt_ts,1,373,0.8017822736030829,0.8533236994219653,0.8533236994219653
eval-val,373,lddt,1,373,0.7939410683548411,0.802095799899323,0.802095799899323
eval-val,373,rmsd,1,373,1.9507527476001312,1.621482779264051,1.621482779264051
eval-val,373,tm_score,1,373,0.9307526208400939,0.9389742323509962,0.9389742323509962
eval-val,374,gdt_ts,1,374,0.7095015576323987,0.7367601246105919,0.7157320872274143
eval-val,374,lddt,1,374,0.695719322463675,0.7032333623370377,0.6924423321915419
eval-val,374,rmsd,1,374,1.8832125391238104,1.777075369733717,1.777075369733717
eval-val,374,tm_score,1,374,0.8938313768290352,0.9003668490565517,0.8939841051324346
