budget,neither,one,both,fold1_seen,fold2_seen,assessable_neither,assessable_one,assessable_both,exact_neither,exact_one,exact_both,expected_neither,expected_one,expected_both
709,17,10,2,12,2,8,7,2,9,6,2,17.027083482036446,10.348390992438029,1.6245255255255255
710,17,10,2,12,2,8,7,2,9,6,2,17.026784242838346,10.347109651055549,1.6261061061061062
711,17,10,2,12,2,8,7,2,9,6,2,17.02648743347917,10.345827881836144,1.6276846846846849
712,17,10,2,12,2,8,7,2,9,6,2,17.02619304005162,10.344545698687119,1.6292612612612614
713,17,10,2,12,2,8,7,2,9,6,2,17.025901048713195,10.34326311545097,1.630835835835836
714,17,10,2,12,2,8,7,2,9,6,2,17.02561144568585,10.34198014590574,1.6324084084084083
715,17,10,2,12,2,8,7,2,9,6,2,17.025324217255694,10.34069680376533,1.6339789789789791
716,17,10,2,12,2,8,7,2,9,6,2,17.02503934977262,10.339413102679831,1.6355475475475476
717,17,10,2,12,2,8,7,2,9,6,2,17.024756829650016,10.33812905623587,1.6371141141141141
718,17,10,2,12,2,8,7,2,9,6,2,17.02447664336441,10.33684467795691,1.6386786786786787
719,17,10,2,12,2,8,7,2,9,6,2,17.02419877745516,10.335559981303598,1.6402412412412413
720,17,10,2,12,2,8,7,2,9,6,2,17.02392321852411,10.33427497967409,1.641801801801802
721,17,10,2,12,2,8,7,2,9,6,2,17.02364995323528,10.332989686404359,1.6433603603603604
722,17,10,2,12,2,8,7,2,9,6,2,17.023378968314542,10.33170411476854,1.6449169169169169
723,17,10,2,12,2,8,7,2,9,6,2,17.02311025054928,10.330418277979247,1.6464714714714714
724,17,10,2,12,2,8,7,2,9,6,2,17.022843786788087,10.329132189187888,1.648024024024024
725,17,10,2,12,2,8,7,2,9,6,2,17.02257956394042,10.327845861485006,1.6495745745745745
726,17,10,2,12,2,8,7,2,9,6,2,17.0223175689763,10.326559307900576,1.651123123123123
727,17,10,2,12,2,8,7,2,9,6,2,17.02205778892598,10.325272541404349,1.6526696696696699
728,17,10,2,12,2,8,7,2,9,6,2,17.02180021087962,10.323985574906166,1.6542142142142144
