population,tier_axis,tier,predictor,range,cut,n,mean,ci_low,ci_high
all_natural,depth_tier,all,Protenix-v2 + MSA,long,R,357,0.8034789433806556,0.7854402081134558,0.8201005371755214
all_natural,depth_tier,all,Protenix-v2 single-seq,long,R,357,0.21727057838379013,0.19380666677747685,0.24128158212176615
all_natural,depth_tier,all,seq-KNN (decontaminated corpus),long,R,314,0.4083728515375176,0.3847554136605652,0.43172388157044606
foldbench_designed,depth_tier,100-1000,MarinFold #232 m2-p06 (step 363k),all,AUC,3,0.9532496399386878,0.8988647719381447,0.98770142776741
foldbench_designed,depth_tier,100-1000,seq-KNN (decontaminated corpus),all,AUC,3,0.5306321977542491,0.4991629888905798,0.5927336043721674
foldbench_designed,depth_tier,100-1000,ESMFold2,all,R,3,0.8440434486449666,0.8064516129032256,0.8653846153846154
foldbench_designed,depth_tier,100-1000,MarinFold #232 m2-p06 (step 363k),all,R,3,0.47841961433043023,0.3014705882352941,0.5961538461538461
foldbench_designed,depth_tier,100-1000,Protenix-v2 + MSA,all,R,3,0.8240544770430919,0.7849462365591396,0.8602941176470589
foldbench_designed,depth_tier,100-1000,Protenix-v2 single-seq,all,R,3,0.823292220113852,0.7419354838709676,0.875
foldbench_designed,depth_tier,100-1000,seq-KNN (decontaminated corpus),all,R,3,0.0669671094244149,0.0,0.19354838709677416
foldbench_designed,depth_tier,100-1000,ESMFold2,long,R,3,0.8609130520895226,0.8055555555555557,0.9242424242424242
foldbench_designed,depth_tier,100-1000,MarinFold #232 m2-p06 (step 363k),long,R,3,0.44924737571796386,0.2745098039215686,0.5454545454545454
foldbench_designed,depth_tier,100-1000,Protenix-v2 + MSA,long,R,3,0.8131560705090116,0.7638888888888888,0.8725490196078431
foldbench_designed,depth_tier,100-1000,Protenix-v2 single-seq,long,R,3,0.8226133887898595,0.7361111111111112,0.8787878787878788
