dataset,stem,arm,range,L,n_rollouts,n_true,n_candidates,n_voted,n_unvoted,n_unvoted_negative,n_union_true,union_recall
foldbench_monomer,7uvg_A,seeded,all,183,100,178,12894,3027,9867,9840,151,0.848314606741573
foldbench_monomer,7uvg_A,seeded,long,183,100,128,10233,2216,8017,7993,104,0.8125
foldbench_monomer,7uww_A,seeded,all,635,100,693,196251,18482,177769,177672,596,0.86002886002886
foldbench_monomer,7uww_A,seeded,long,635,100,474,185136,15006,170130,170045,389,0.820675105485232
foldbench_monomer,7v3o_A,seeded,all,328,100,272,36865,6692,30173,30156,255,0.9375
foldbench_monomer,7v3o_A,seeded,long,328,100,187,32176,5246,26930,26918,175,0.9358288770053476
foldbench_monomer,7w15_A,seeded,all,302,100,303,41328,2136,39192,39187,298,0.9834983498349835
foldbench_monomer,7w15_A,seeded,long,302,100,197,36315,1525,34790,34787,194,0.9847715736040609
foldbench_monomer,7wz5_A,seeded,all,161,100,113,12090,4601,7489,7437,61,0.5398230088495575
foldbench_monomer,7wz5_A,seeded,long,161,100,103,9453,3401,6052,6001,52,0.5048543689320388
foldbench_monomer,7wzm_A,seeded,all,492,100,456,102393,2152,100241,100237,452,0.9912280701754386
foldbench_monomer,7wzm_A,seeded,long,492,100,335,94551,1604,92947,92944,332,0.991044776119403
foldbench_monomer,7x3h_A,seeded,all,290,100,296,36615,1967,34648,34622,270,0.9121621621621622
foldbench_monomer,7x3h_A,seeded,long,290,100,196,32088,1335,30753,30732,175,0.8928571428571429
foldbench_monomer,7x4p_A,seeded,all,307,100,333,45150,3563,41587,41574,320,0.960960960960961
foldbench_monomer,7x4p_A,seeded,long,307,100,241,39903,2604,37299,37289,231,0.9585062240663901
foldbench_monomer,7x8l_A,seeded,all,514,100,580,127777,9573,118204,118156,532,0.9172413793103448
foldbench_monomer,7x8l_A,seeded,long,514,100,440,118894,7728,111166,111124,398,0.9045454545454545
foldbench_monomer,7xcd_A,seeded,all,178,100,148,14878,4033,10845,10807,110,0.7432432432432432
foldbench_monomer,7xcd_A,seeded,long,178,100,103,11935,3101,8834,8801,70,0.6796116504854369
foldbench_monomer,7xg9_A,seeded,all,288,100,241,39340,4614,34726,34695,210,0.8713692946058091
foldbench_monomer,7xg9_A,seeded,long,288,100,201,34453,3535,30918,30887,170,0.845771144278607
foldbench_monomer,7xi5_A,seeded,all,65,100,42,1326,163,1163,1162,41,0.9761904761904762
foldbench_monomer,7xi5_A,seeded,long,65,100,23,561,99,462,461,22,0.9565217391304348
foldbench_monomer,7xjr_A,seeded,all,337,100,354,45150,3020,42130,42116,340,0.96045197740113
foldbench_monomer,7xjr_A,seeded,long,337,100,275,39903,2325,37578,37566,263,0.9563636363636364
foldbench_monomer,7xlz_A,seeded,all,266,100,265,27759,2032,25727,25719,257,0.969811320754717
foldbench_monomer,7xlz_A,seeded,long,266,100,174,23879,1400,22479,22472,167,0.9597701149425287
foldbench_monomer,7xp9_A,seeded,all,84,100,45,2485,877,1608,1608,45,1.0
foldbench_monomer,7xp9_A,seeded,long,84,100,27,1378,587,791,791,27,1.0
foldbench_monomer,7xq4_A,seeded,all,514,100,472,116915,8347,108568,108528,432,0.9152542372881356
foldbench_monomer,7xq4_A,seeded,long,514,100,335,108671,6952,101719,101681,297,0.8865671641791045
foldbench_monomer,7xrx_A,seeded,all,398,100,396,77028,5441,71587,71567,376,0.9494949494949495
foldbench_monomer,7xrx_A,seeded,long,398,100,302,70125,4168,65957,65944,289,0.956953642384106
foldbench_monomer,7xyr_A,seeded,all,591,100,707,146099,5421,140678,140657,686,0.9702970297029703
foldbench_monomer,7xyr_A,seeded,long,591,100,527,136844,4231,132613,132598,512,0.9715370018975332
foldbench_monomer,7xz3_A,seeded,all,325,100,316,35832,10016,25816,25769,269,0.8512658227848101
foldbench_monomer,7xz3_A,seeded,long,325,100,254,31744,7897,23847,23800,207,0.8149606299212598
foldbench_monomer,7y3h_A,seeded,all,413,100,312,76245,2754,73491,73477,298,0.9551282051282052
foldbench_monomer,7y3h_A,seeded,long,413,100,199,69378,2010,67368,67361,192,0.964824120603015
foldbench_monomer,7y4h_A,seeded,all,338,100,320,52353,3871,48482,48471,309,0.965625
foldbench_monomer,7y4h_A,seeded,long,338,100,226,46854,2906,43948,43939,217,0.9601769911504425
foldbench_monomer,7y54_A,seeded,all,100,100,105,4465,363,4102,4101,104,0.9904761904761905
foldbench_monomer,7y54_A,seeded,long,100,100,58,2926,215,2711,2710,57,0.9827586206896551
foldbench_monomer,7y5j_A,seeded,all,102,100,91,4005,337,3668,3665,88,0.967032967032967
foldbench_monomer,7y5j_A,seeded,long,102,100,50,2556,189,2367,2364,47,0.94
foldbench_monomer,7y5m_A,seeded,all,170,100,148,11175,1421,9754,9736,130,0.8783783783783784
foldbench_monomer,7y5m_A,seeded,long,170,100,107,8646,912,7734,7716,89,0.8317757009345794
foldbench_monomer,7y5r_A,seeded,all,105,100,97,4950,381,4569,4566,94,0.9690721649484536
foldbench_monomer,7y5r_A,seeded,long,105,100,60,3321,246,3075,3072,57,0.95
foldbench_monomer,7y8h_A,seeded,all,100,100,83,3767,261,3506,3506,83,1.0
foldbench_monomer,7y8h_A,seeded,long,100,100,49,2486,134,2352,2352,49,1.0
foldbench_monomer,7y8i_A,seeded,all,97,100,83,2941,206,2735,2735,83,1.0
foldbench_monomer,7y8i_A,seeded,long,97,100,47,1906,122,1784,1784,47,1.0
foldbench_monomer,7yd4_A,seeded,all,185,100,142,15063,4735,10328,10311,125,0.8802816901408451
foldbench_monomer,7yd4_A,seeded,long,185,100,101,12156,3586,8570,8557,88,0.8712871287128713
foldbench_monomer,7yhr_A,seeded,all,60,100,41,1431,506,925,925,41,1.0
foldbench_monomer,7yhr_A,seeded,long,60,100,23,630,270,360,360,23,1.0
foldbench_monomer,7ykm_A,seeded,all,105,100,55,2850,222,2628,2628,55,1.0
