range,cut,subset,predictor,n,n_valid,mean,sem,n_pairs,delta_marinfold_minus_comparator,ci_lo,ci_hi,significant,split
long,AUC,no_hit_at_all,ESMFold2,51,51,0.9391999291655155,0.011915658658832476,51.0,-0.01930066405316765,-0.05015644080650869,0.017035721239740804,False,designed
long,AUC,no_hit_at_all,Protenix-v2 + MSA,51,51,0.9119665168147548,0.017889275169417018,51.0,0.007932748297593138,-0.030806965078928533,0.05264802360598722,False,designed
long,AUC,no_hit_at_all,seq-KNN k=10 (null),51,51,0.5003277641192315,0.00048233550168674073,51.0,0.4195715009931163,0.39765969340735957,0.4411178260712575,True,designed
long,R,no_hit_at_all,"MarinFold #199 (1.5B, seq only)",51,51,0.43407926299983846,0.030114638712894368,,,,,,designed
long,R,no_hit_at_all,Protenix-v2 single-seq,51,51,0.7626869506190996,0.032721450673043086,51.0,-0.328607687619261,-0.40078701098519354,-0.2473153905785586,True,designed
long,R,no_hit_at_all,ESMFold,51,51,0.710675912906541,0.04057186940400417,51.0,-0.27659664990670263,-0.35707679004764037,-0.1879199390997293,True,designed
long,R,no_hit_at_all,ESMFold2,51,51,0.8163684222777376,0.024283925042290315,51.0,-0.38228915927789925,-0.45611370294056186,-0.29671032021601307,True,designed
long,R,no_hit_at_all,Protenix-v2 + MSA,51,51,0.7525727614431303,0.03346445218771378,51.0,-0.3184934984432918,-0.3912859322045853,-0.2376397514505875,True,designed
long,R,no_hit_at_all,seq-KNN k=10 (null),51,51,0.0031647144684287354,0.0013240884007720926,51.0,0.4309145485314097,0.3746381950346571,0.4898897723542418,True,designed
all,AUC,no_or_remote_homolog,"MarinFold #199 (1.5B, seq only)",239,239,0.9341643390295683,0.00496690214184844,,,,,,all
all,AUC,no_or_remote_homolog,Protenix-v2 single-seq,239,239,0.8971900584962916,0.008230907785245163,239.0,0.03697428053327677,0.024423229039160978,0.05068201449250353,True,all
all,AUC,no_or_remote_homolog,ESMFold,239,239,0.8688502335300047,0.009953578241229215,239.0,0.06531410549956364,0.0505405654447717,0.08041589740122274,True,all
all,AUC,no_or_remote_homolog,ESMFold2,239,239,0.9078847936544217,0.0074759400607714915,239.0,0.026279545375146755,0.015531998486652385,0.03800128257879924,True,all
all,AUC,no_or_remote_homolog,Protenix-v2 + MSA,239,239,0.9215719343852381,0.006086590042554814,239.0,0.012592404644330332,3.1487537957315635e-05,0.026057189573442253,True,all
all,AUC,no_or_remote_homolog,seq-KNN k=10 (null),239,239,0.5160528483833955,0.003154522690098368,239.0,0.418111490646173,0.4071229114465156,0.42877907242645397,True,all
all,R,no_or_remote_homolog,"MarinFold #199 (1.5B, seq only)",239,239,0.5487159561380545,0.016376890390417495,,,,,,all
all,R,no_or_remote_homolog,Protenix-v2 single-seq,239,239,0.720150074305834,0.01613457125648944,239.0,-0.17143411816777934,-0.20035039875871172,-0.14189609037936166,True,all
all,R,no_or_remote_homolog,ESMFold,239,239,0.6965155031180789,0.018570600926107156,239.0,-0.14779954698002423,-0.17383227926276157,-0.1216085372940106,True,all
all,R,no_or_remote_homolog,ESMFold2,239,239,0.7469544588762795,0.014768317512842055,239.0,-0.19823850273822494,-0.2270173261660975,-0.16827915945857275,True,all
